source,target
Samuel L. Jackson,George Lucas
Harrison Ford,Denholm Elliott
Harrison Ford,Sean Connery
Harrison Ford,River Phoenix
Harrison Ford,Steven Spielberg
Denholm Elliott,Sean Connery
Denholm Elliott,River Phoenix
Denholm Elliott,Steven Spielberg
Sean Connery,River Phoenix
Sean Connery,Steven Spielberg
River Phoenix,Steven Spielberg
Audrey Hepburn,Patricia Neal
Audrey Hepburn,Martin Balsam
Audrey Hepburn,Mickey Rooney
Patricia Neal,Martin Balsam
Patricia Neal,Mickey Rooney
Martin Balsam,Mickey Rooney
Leonardo DiCaprio,Kate Winslet
Leonardo DiCaprio,Kathy Bates
Leonardo DiCaprio,Gloria Stuart
Leonardo DiCaprio,James Cameron
Kate Winslet,Kathy Bates
Kate Winslet,Gloria Stuart
Kate Winslet,James Cameron
Kathy Bates,Gloria Stuart
Kathy Bates,James Cameron
Gloria Stuart,James Cameron
Will Smith,Mary McDonnell
Will Smith,Judd Hirsch
Will Smith,Randy Quaid
Will Smith,Robert Loggia
Mary McDonnell,Judd Hirsch
Mary McDonnell,Randy Quaid
Mary McDonnell,Robert Loggia
Judd Hirsch,Randy Quaid
Judd Hirsch,Robert Loggia
Randy Quaid,Robert Loggia
Billy Bob Thornton,Michael Clarke Duncan
Harrison Ford,Alec Guinness
Harrison Ford,James Earl Jones
Harrison Ford,George Lucas
Alec Guinness,James Earl Jones
Alec Guinness,George Lucas
James Earl Jones,George Lucas
Tom Cruise,Penélope Cruz
Tom Cruise,Tilda Swinton
Tom Cruise,Michael Shannon
Tom Cruise,Steven Spielberg
Penélope Cruz,Tilda Swinton
Penélope Cruz,Michael Shannon
Penélope Cruz,Steven Spielberg
Tilda Swinton,Michael Shannon
Tilda Swinton,Steven Spielberg
Michael Shannon,Steven Spielberg
Nicolas Cage,Elisabeth Shue
Nicolas Cage,Laurie Metcalf
Nicolas Cage,Mike Figgis
Elisabeth Shue,Laurie Metcalf
Elisabeth Shue,Mike Figgis
Laurie Metcalf,Mike Figgis
Harrison Ford,Denholm Elliott
Harrison Ford,Steven Spielberg
Denholm Elliott,Steven Spielberg
John Travolta,Samuel L. Jackson
John Travolta,Uma Thurman
John Travolta,Harvey Keitel
John Travolta,Tim Roth
John Travolta,Christopher Walken
John Travolta,Quentin Tarantino
Samuel L. Jackson,Uma Thurman
Samuel L. Jackson,Harvey Keitel
Samuel L. Jackson,Tim Roth
Samuel L. Jackson,Christopher Walken
Samuel L. Jackson,Quentin Tarantino
Uma Thurman,Harvey Keitel
Uma Thurman,Tim Roth
Uma Thurman,Christopher Walken
Uma Thurman,Quentin Tarantino
Harvey Keitel,Tim Roth
Harvey Keitel,Christopher Walken
Harvey Keitel,Quentin Tarantino
Tim Roth,Christopher Walken
Tim Roth,Quentin Tarantino
Christopher Walken,Quentin Tarantino
Eddie Murphy,James Earl Jones
Eddie Murphy,Samuel L. Jackson
James Earl Jones,Samuel L. Jackson
Natalie Portman,Samuel L. Jackson
Natalie Portman,George Lucas
Samuel L. Jackson,George Lucas
Marcia Gay Harden,Albert Finney
Johnny Depp,Miranda Richardson
Johnny Depp,Christopher Walken
Johnny Depp,Martin Landau
Miranda Richardson,Christopher Walken
Miranda Richardson,Martin Landau
Christopher Walken,Martin Landau
Humphrey Bogart,Ingrid Bergman
Humphrey Bogart,Claude Rains
Humphrey Bogart,Sydney Greenstreet
Humphrey Bogart,Michael Curtiz
Ingrid Bergman,Claude Rains
Ingrid Bergman,Sydney Greenstreet
Ingrid Bergman,Michael Curtiz
Claude Rains,Sydney Greenstreet
Claude Rains,Michael Curtiz
Sydney Greenstreet,Michael Curtiz
Jake Gyllenhaal,Mary McDonnell
Jake Gyllenhaal,Katharine Ross
Jake Gyllenhaal,Maggie Gyllenhaal
Mary McDonnell,Katharine Ross
Mary McDonnell,Maggie Gyllenhaal
Katharine Ross,Maggie Gyllenhaal
Martin Balsam,James Whitmore
Martin Balsam,Jason Robards
James Whitmore,Jason Robards
Frank Sinatra,Laurence Harvey
Frank Sinatra,Janet Leigh
Frank Sinatra,Angela Lansbury
Laurence Harvey,Janet Leigh
