title,year,role,name
That Thing You Do!,1996,cast,Bryan Cranston
That Thing You Do!,1996,cast,Jonathan Demme
That Thing You Do!,1996,star,Tom Hanks
Throne of Blood,1957,director,Akira Kurosawa
Coming Home (1978 film),1978,star,Jane Fonda
Coming Home (1978 film),1978,star,Jon Voight
Coming Home (1978 film),1978,star,Bruce Dern
Coming Home (1978 film),1978,cast,Penelope Milford
Coming Home (1978 film),1978,director,Hal Ashby
Heaven Can Wait (1978 film),1978,star,Warren Beatty
Heaven Can Wait (1978 film),1978,star,Julie Christie
Heaven Can Wait (1978 film),1978,star,James Mason
Heaven Can Wait (1978 film),1978,star,Dyan Cannon
Heaven Can Wait (1978 film),1978,star,Buck Henry
Heaven Can Wait (1978 film),1978,star,Vincent Gardenia
Heaven Can Wait (1978 film),1978,star,Jack Warden
Heaven Can Wait (1978 film),1978,star,Warren Beatty
Heaven Can Wait (1978 film),1978,star,Buck Henry
Midnight Express (film),1978,cast,Randy Quaid
Midnight Express (film),1978,cast,John Hurt
Midnight Express (film),1978,director,Alan Parker
An Unmarried Woman,1978,star,Jill Clayburgh
An Unmarried Woman,1978,star,Alan Bates
Kramer vs. Kramer,1979,star,Dustin Hoffman
Kramer vs. Kramer,1979,star,Meryl Streep
Kramer vs. Kramer,1979,star,Jane Alexander
Kramer vs. Kramer,1979,cast,Justin Henry
Kramer vs. Kramer,1979,director,Robert Benton
Breaking Away,1979,star,Jackie Earle Haley
Breaking Away,1979,star,Barbara Barrie
Breaking Away,1979,director,Peter Yates
Norma Rae,1979,star,Sally Field
Norma Rae,1979,director,Martin Ritt
Dead Men Don't Wear Plaid,1982,cast,Barbara Stanwyck
Dead Men Don't Wear Plaid,1982,cast,Ray Milland
Dead Men Don't Wear Plaid,1982,cast,Ava Gardner
Dead Men Don't Wear Plaid,1982,cast,Burt Lancaster
Dead Men Don't Wear Plaid,1982,cast,Humphrey Bogart
Dead Men Don't Wear Plaid,1982,cast,Cary Grant
Dead Men Don't Wear Plaid,1982,cast,Ingrid Bergman
Dead Men Don't Wear Plaid,1982,cast,Bette Davis
Dead Men Don't Wear Plaid,1982,cast,Lana Turner
Dead Men Don't Wear Plaid,1982,cast,Kirk Douglas
Dead Men Don't Wear Plaid,1982,cast,James Cagney
Dead Men Don't Wear Plaid,1982,cast,Joan Crawford
Dead Men Don't Wear Plaid,1982,cast,Charles Laughton
Things to Come,1936,star,Raymond Massey
Things to Come,1936,star,Ralph Richardson
Man on the Moon (film),1999,star,Paul Giamatti
Rocky IV,1985,star,Sylvester Stallone
Rocky IV,1985,star,Talia Shire
Rocky IV,1985,star,Burt Young
Rocky IV,1985,star,Sylvester Stallone
The Toxic Avenger (film),1984,cast,Marisa Tomei
Trainspotting (film),1996,director,Danny Boyle
Death Becomes Her,1992,star,Meryl Streep
Death Becomes Her,1992,star,Goldie Hawn
Death Becomes Her,1992,cast,Sydney Pollack
Death Becomes Her,1992,director,Robert Zemeckis
Thelma & Louise,1991,star,Susan Sarandon
Thelma & Louise,1991,star,Geena Davis
Thelma & Louise,1991,star,Harvey Keitel
Thelma & Louise,1991,star,Brad Pitt
Thelma & Louise,1991,director,Ridley Scott
What Women Want,2000,star,Mel Gibson
What Women Want,2000,star,Helen Hunt
What Women Want,2000,star,Marisa Tomei
What Women Want,2000,star,Alan Alda
What Women Want,2000,cast,Valerie Perrine
What Women Want,2000,cast,Bette Midler
Black Hawk Down (film),2001,star,Sam Shepard
Black Hawk Down (film),2001,cast,Tom Hardy
Black Hawk Down (film),2001,director,Ridley Scott
Ordinary People,1980,star,Mary Tyler Moore
Ordinary People,1980,star,Judd Hirsch
Ordinary People,1980,star,Timothy Hutton
Ordinary People,1980,cast,Elizabeth McGovern
Ordinary People,1980,director,Robert Redford
Coal Miner's Daughter (film),1980,star,Sissy Spacek
Coal Miner's Daughter (film),1980,star,Tommy Lee Jones
The Elephant Man (film),1980,star,Anthony Hopkins
The Elephant Man (film),1980,star,John Hurt
The Elephant Man (film),1980,star,Anne Bancroft
The Elephant Man (film),1980,star,John Gielgud
The Elephant Man (film),1980,star,Wendy Hiller
The Elephant Man (film),1980,director,David Lynch
Atlantic City (1980 film),1980,star,Burt Lancaster
Atlantic City (1980 film),1980,star,Susan Sarandon
Atlantic City (1980 film),1980,director,Louis Malle
Stand and Deliver,1988,star,Edward James Olmos
Terms of Endearment,1983,star,Shirley MacLaine
Terms of Endearment,1983,star,Debra Winger
Terms of Endearment,1983,star,Jack Nicholson
Terms of Endearment,1983,star,John Lithgow
Terms of Endearment,1983,cast,Albert Brooks
Terms of Endearment,1983,director,James L. Brooks
The Dresser (1983 film),1983,star,Albert Finney
The Dresser (1983 film),1983,star,Tom Courtenay
The Dresser (1983 film),1983,director,Peter Yates
The Right Stuff (film),1983,star,Ed Harris
The Right Stuff (film),1983,star,Sam Shepard
The Right Stuff (film),1983,star,Kim Stanley
The Right Stuff (film),1983,star,Barbara Hershey
Tender Mercies,1983,star,Robert Duvall
Tender Mercies,1983,star,Tess Harper
Tender Mercies,1983,director,Bruce Beresford
Places in the Heart,1984,star,Sally Field
Places in the Heart,1984,star,Lindsay Crouse
Places in the Heart,1984,star,Ed Harris
Places in the Heart,1984,star,Amy Madigan
Places in the Heart,1984,star,John Malkovich
Places in the Heart,1984,director,Robert Benton
A Soldier's Story,1984,star,Adolph Caesar
A Soldier's Story,1984,cast,Denzel Washington
A Soldier's Story,1984,director,Norman Jewison
Kiss of the Spider Woman (film),1985,star,William Hurt
Prizzi's Honor,1985,star,Jack Nicholson
Prizzi's Honor,1985,star,Kathleen Turner
Prizzi's Honor,1985,star,Robert Loggia
Prizzi's Honor,1985,star,Anjelica Huston
Prizzi's Honor,1985,cast,Stanley Tucci
Prizzi's Honor,1985,director,John Huston
Platoon (film),1986,star,Tom Berenger
Platoon (film),1986,star,Willem Dafoe
Platoon (film),1986,cast,Forest Whitaker
Platoon (film),1986,cast,Johnny Depp
Platoon (film),1986,director,Oliver Stone
Children of a Lesser God (film),1986,star,William Hurt
Children of a Lesser God (film),1986,star,Marlee Matlin
Children of a Lesser God (film),1986,star,Piper Laurie
Hannah and Her Sisters,1986,star,Woody Allen
Hannah and Her Sisters,1986,star,Michael Caine
Hannah and Her Sisters,1986,star,Barbara Hershey
Hannah and Her Sisters,1986,star,Dianne Wiest
Hannah and Her Sisters,1986,star,Woody Allen
Scream (1996 film),1996,cast,Linda Blair
Dead Man,1995,star,Johnny Depp
Dead Man,1995,star,Billy Bob Thornton
Dead Man,1995,star,John Hurt
Dead Man,1995,star,Robert Mitchum
Topkapi (film),1964,star,Melina Mercouri
Topkapi (film),1964,star,Peter Ustinov
Topkapi (film),1964,star,Maximilian Schell
Topkapi (film),1964,star,Robert Morley
Topkapi (film),1964,cast,Akim Tamiroff
Topkapi (film),1964,director,Jules Dassin
Uranus (film),1990,star,Gérard Depardieu
The Matrix Reloaded,2003,star,Laurence Fishburne
Fail Safe (1964 film),1964,star,Henry Fonda
Fail Safe (1964 film),1964,star,Dan O'Herlihy
Fail Safe (1964 film),1964,star,Walter Matthau
Fail Safe (1964 film),1964,director,Sidney Lumet
The Last Emperor,1987,star,Peter O'Toole
The Last Emperor,1987,director,Bernardo Bertolucci
Broadcast News (film),1987,star,William Hurt
Broadcast News (film),1987,star,Albert Brooks
Broadcast News (film),1987,star,Holly Hunter
Broadcast News (film),1987,cast,Joan Cusack
Broadcast News (film),1987,cast,Jack Nicholson
Broadcast News (film),1987,director,James L. Brooks
Fatal Attraction,1987,star,Michael Douglas
Fatal Attraction,1987,star,Glenn Close
Fatal Attraction,1987,star,Anne Archer
Fatal Attraction,1987,director,Adrian Lyne
Hope and Glory (film),1987,star,Sarah Miles
Hope and Glory (film),1987,star,Ian Bannen
Hope and Glory (film),1987,director,John Boorman
Moonstruck,1987,star,Cher
Moonstruck,1987,star,Nicolas Cage
Moonstruck,1987,star,Vincent Gardenia
Moonstruck,1987,star,Olympia Dukakis
Moonstruck,1987,star,Danny Aiello
Moonstruck,1987,director,Norman Jewison
Rain Man,1988,star,Dustin Hoffman
Rain Man,1988,star,Tom Cruise
Rain Man,1988,director,Barry Levinson
Rain Man,1988,director,Barry Levinson
Mississippi Burning,1988,star,Gene Hackman
Mississippi Burning,1988,star,Willem Dafoe
Mississippi Burning,1988,cast,Frances McDormand
Mississippi Burning,1988,cast,Brad Dourif
Mississippi Burning,1988,director,Alan Parker
Working Girl,1988,star,Harrison Ford
Working Girl,1988,star,Sigourney Weaver
Working Girl,1988,star,Melanie Griffith
Working Girl,1988,cast,Alec Baldwin
Working Girl,1988,cast,Joan Cusack
Working Girl,1988,cast,Kevin Spacey
Working Girl,1988,director,Mike Nichols
Driving Miss Daisy,1989,star,Morgan Freeman
Driving Miss Daisy,1989,star,Jessica Tandy
Driving Miss Daisy,1989,star,Dan Aykroyd
Driving Miss Daisy,1989,director,Bruce Beresford
Dead Poets Society,1989,star,Robin Williams
Dead Poets Society,1989,cast,Ethan Hawke
Dead Poets Society,1989,director,Peter Weir
Field of Dreams,1989,star,Kevin Costner
Field of Dreams,1989,star,Amy Madigan
Field of Dreams,1989,star,James Earl Jones
Field of Dreams,1989,star,Burt Lancaster
My Left Foot,1989,star,Daniel Day-Lewis
My Left Foot,1989,star,Brenda Fricker
My Left Foot,1989,director,Jim Sheridan
Dances with Wolves,1990,star,Kevin Costner
Dances with Wolves,1990,star,Mary McDonnell
Dances with Wolves,1990,star,Kevin Costner
Awakenings,1990,star,Robert De Niro
Awakenings,1990,star,Robin Williams
Awakenings,1990,star,Max von Sydow
Awakenings,1990,cast,Dexter Gordon
Ghost (1990 film),1990,star,Whoopi Goldberg
The Godfather Part III,1990,star,Al Pacino
The Godfather Part III,1990,star,Diane Keaton
The Godfather Part III,1990,star,Talia Shire
The Godfather Part III,1990,star,Sofia Coppola
The Godfather Part III,1990,cast,Andy Garcia
The Godfather Part III,1990,director,Francis Ford Coppola
Beauty and the Beast (1991 film),1991,star,Angela Lansbury
Bugsy,1991,star,Warren Beatty
Bugsy,1991,star,Annette Bening
Bugsy,1991,star,Harvey Keitel
Bugsy,1991,star,Ben Kingsley
Bugsy,1991,star,Elliott Gould
Bugsy,1991,director,Barry Levinson
The Prince of Tides,1991,star,Barbra Streisand
The Prince of Tides,1991,star,Nick Nolte
The Prince of Tides,1991,star,Kate Nelligan
The Prince of Tides,1991,star,Melinda Dillon
The Prince of Tides,1991,star,Barbra Streisand
Unforgiven,1992,star,Clint Eastwood
Unforgiven,1992,star,Gene Hackman
Unforgiven,1992,star,Morgan Freeman
Unforgiven,1992,star,Richard Harris
Unforgiven,1992,star,Clint Eastwood
Howards End (film),1992,star,Anthony Hopkins
Howards End (film),1992,star,Vanessa Redgrave
Howards End (film),1992,star,Helena Bonham Carter
Howards End (film),1992,star,Emma Thompson
Howards End (film),1992,director,James Ivory
Scent of a Woman (1992 film),1992,star,Al Pacino
Scent of a Woman (1992 film),1992,cast,Philip Seymour Hoffman
Scent of a Woman (1992 film),1992,cast,June Squibb
Scent of a Woman (1992 film),1992,director,Martin Brest
In the Name of the Father (film),1993,star,Daniel Day-Lewis
In the Name of the Father (film),1993,star,Emma Thompson
In the Name of the Father (film),1993,star,Pete Postlethwaite
In the Name of the Father (film),1993,director,Jim Sheridan
Thunder Road (1958 film),1958,star,Robert Mitchum
The Piano,1993,star,Holly Hunter
The Piano,1993,star,Harvey Keitel
The Piano,1993,star,Anna Paquin
The Piano,1993,director,Jane Campion
Minority Report (film),2002,star,Tom Cruise
Minority Report (film),2002,star,Samantha Morton
Minority Report (film),2002,star,Max von Sydow
Minority Report (film),2002,director,Steven Spielberg
A.I. Artificial Intelligence,2001,star,Haley Joel Osment
A.I. Artificial Intelligence,2001,star,Jude Law
A.I. Artificial Intelligence,2001,star,William Hurt
A.I. Artificial Intelligence,2001,cast,Robin Williams
A.I. Artificial Intelligence,2001,cast,Ben Kingsley
A.I. Artificial Intelligence,2001,cast,Meryl Streep
A.I. Artificial Intelligence,2001,director,Steven Spielberg
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,star,John Lithgow
Groundhog Day (film),1993,star,Bill Murray
Groundhog Day (film),1993,cast,Michael Shannon
Quiz Show (film),1994,star,Ralph Fiennes
Quiz Show (film),1994,star,David Paymer
Quiz Show (film),1994,star,Paul Scofield
Quiz Show (film),1994,cast,Mira Sorvino
Quiz Show (film),1994,cast,Martin Scorsese
Quiz Show (film),1994,cast,Barry Levinson
Quiz Show (film),1994,director,Robert Redford
Apollo 13 (film),1995,star,Tom Hanks
Apollo 13 (film),1995,star,Gary Sinise
Apollo 13 (film),1995,star,Ed Harris
Apollo 13 (film),1995,star,Kathleen Quinlan
Apollo 13 (film),1995,director,Ron Howard
Babe (film),1995,star,James Cromwell
Babe (film),1995,director,Chris Noonan
Sense and Sensibility (film),1995,star,Emma Thompson
Sense and Sensibility (film),1995,star,Kate Winslet
Sense and Sensibility (film),1995,cast,Imelda Staunton
Sense and Sensibility (film),1995,cast,Tom Wilkinson
Sense and Sensibility (film),1995,director,Ang Lee
Fargo (film),1996,star,Frances McDormand
Fargo (film),1996,star,William H. Macy
Fargo (film),1996,director,Joel Coen
Jerry Maguire,1996,star,Tom Cruise
Jerry Maguire,1996,star,Cuba Gooding Jr.
Jerry Maguire,1996,star,Renée Zellweger
Jerry Maguire,1996,cast,Regina King
Shine (film),1996,star,Armin Mueller-Stahl
Shine (film),1996,star,Geoffrey Rush
Shine (film),1996,star,Lynn Redgrave
Shine (film),1996,star,John Gielgud
Shine (film),1996,director,Scott Hicks
As Good as It Gets,1997,star,Jack Nicholson
As Good as It Gets,1997,star,Helen Hunt
As Good as It Gets,1997,star,Greg Kinnear
As Good as It Gets,1997,star,Cuba Gooding Jr.
As Good as It Gets,1997,star,Shirley Knight
As Good as It Gets,1997,director,James L. Brooks
The Full Monty,1997,star,Tom Wilkinson
The Full Monty,1997,director,Peter Cattaneo
Good Will Hunting,1997,star,Robin Williams
Good Will Hunting,1997,star,Matt Damon
Good Will Hunting,1997,star,Minnie Driver
Good Will Hunting,1997,cast,Casey Affleck
Good Will Hunting,1997,director,Gus Van Sant
L.A. Confidential (film),1997,star,Kevin Spacey
L.A. Confidential (film),1997,star,Russell Crowe
L.A. Confidential (film),1997,star,James Cromwell
L.A. Confidential (film),1997,star,David Strathairn
L.A. Confidential (film),1997,star,Kim Basinger
L.A. Confidential (film),1997,director,Curtis Hanson
Elizabeth (film),1998,star,Cate Blanchett
Elizabeth (film),1998,star,Geoffrey Rush
Elizabeth (film),1998,star,Richard Attenborough
Elizabeth (film),1998,cast,John Gielgud
Life Is Beautiful,1997,star,Roberto Benigni
Life Is Beautiful,1997,star,Roberto Benigni
The Thin Red Line (1998 film),1998,star,Sean Penn
The Thin Red Line (1998 film),1998,star,Adrien Brody
The Thin Red Line (1998 film),1998,star,George Clooney
The Thin Red Line (1998 film),1998,star,Woody Harrelson
The Thin Red Line (1998 film),1998,star,Nick Nolte
The Thin Red Line (1998 film),1998,star,John C. Reilly
The Thin Red Line (1998 film),1998,star,John Travolta
The Thin Red Line (1998 film),1998,cast,Jared Leto
The Thin Red Line (1998 film),1998,director,Terrence Malick
The Insider (film),1999,star,Al Pacino
The Insider (film),1999,star,Russell Crowe
The Insider (film),1999,star,Christopher Plummer
The Insider (film),1999,star,Lindsay Crouse
The Insider (film),1999,cast,Rip Torn
The Insider (film),1999,director,Michael Mann
Gosford Park,2001,star,Alan Bates
Gosford Park,2001,star,Richard E. Grant
Gosford Park,2001,star,Helen Mirren
Gosford Park,2001,star,Clive Owen
Gosford Park,2001,star,Maggie Smith
Gosford Park,2001,star,Kristin Scott Thomas
Gosford Park,2001,star,Emily Watson
Gosford Park,2001,director,Robert Altman
Moulin Rouge!,2001,star,Nicole Kidman
Moulin Rouge!,2001,star,Jim Broadbent
Cries and Whispers,1972,star,Liv Ullmann
Cries and Whispers,1972,director,Ingmar Bergman
Braindead (film),1992,director,Peter Jackson
Braindead (film),1992,director,Peter Jackson
Boeing Boeing (1965 film),1965,star,Tony Curtis
Boeing Boeing (1965 film),1965,star,Thelma Ritter
The Patent Leather Kid,1927,star,Richard Barthelmess
The Big Pond,1930,star,Maurice Chevalier
The Big Pond,1930,star,Claudette Colbert
Bulldog Drummond (1929 film),1929,star,Ronald Colman
Condemned (1929 film),1929,star,Ronald Colman
Condemned (1929 film),1929,star,Ann Harding
Condemned (1929 film),1929,director,Wesley Ruggles
Mrs Brown,1997,star,Judi Dench
The Fifth Element,1997,star,Gary Oldman
The Fifth Element,1997,star,Ian Holm
Fools Rush In (1997 film),1997,star,Salma Hayek
Fools Rush In (1997 film),1997,star,Jill Clayburgh
The Boys from Brazil (film),1978,star,Gregory Peck
The Boys from Brazil (film),1978,star,Laurence Olivier
The Boys from Brazil (film),1978,cast,James Mason
The Boys from Brazil (film),1978,cast,Denholm Elliott
The Boys from Brazil (film),1978,cast,Rosemary Harris
The Boys from Brazil (film),1978,director,Franklin J. Schaffner
Alphaville (film),1965,star,Akim Tamiroff
Conspiracy Theory (film),1997,star,Mel Gibson
Conspiracy Theory (film),1997,star,Julia Roberts
After the Thin Man,1936,star,William Powell
After the Thin Man,1936,star,James Stewart
After the Thin Man,1936,director,W. S. Van Dyke
Another Thin Man,1939,star,William Powell
Another Thin Man,1939,star,Ruth Hussey
Another Thin Man,1939,cast,Marjorie Main
A Free Soul,1931,star,Norma Shearer
A Free Soul,1931,cast,Lionel Barrymore
A Free Soul,1931,cast,Clark Gable
A Free Soul,1931,cast,James Gleason
A Free Soul,1931,director,Clarence Brown
The Royal Family of Broadway,1930,cast,Fredric March
The Royal Family of Broadway,1930,cast,Lucile Watson
The Royal Family of Broadway,1930,director,George Cukor
Dr. Jekyll and Mr. Hyde (1931 film),1931,star,Fredric March
Dr. Jekyll and Mr. Hyde (1931 film),1931,cast,Miriam Hopkins
The Guardsman,1931,star,Alfred Lunt
The Guardsman,1931,star,Lynn Fontanne
The Guardsman,1931,cast,Roland Young
Shadow of the Thin Man,1941,star,William Powell
Shadow of the Thin Man,1941,cast,Donna Reed
Shadow of the Thin Man,1941,director,W. S. Van Dyke
Song of the Thin Man,1947,star,William Powell
Song of the Thin Man,1947,star,Dean Stockwell
Song of the Thin Man,1947,cast,Gloria Grahame
The Thin Man Goes Home,1945,star,William Powell
The Thin Man Goes Home,1945,star,Lucile Watson
The Thin Man Goes Home,1945,cast,Anne Revere
The Affairs of Cellini,1934,star,Frank Morgan
The Affairs of Cellini,1934,star,Fredric March
The Affairs of Cellini,1934,star,Louis Calhern
The Affairs of Cellini,1934,director,Gregory La Cava
Angels with Dirty Faces,1938,star,James Cagney
Angels with Dirty Faces,1938,star,Humphrey Bogart
Angels with Dirty Faces,1938,director,Michael Curtiz
Abe Lincoln in Illinois (film),1940,star,Raymond Massey
Abe Lincoln in Illinois (film),1940,star,Gene Lockhart
Abe Lincoln in Illinois (film),1940,star,Ruth Gordon
Penny Serenade,1941,star,Irene Dunne
Penny Serenade,1941,star,Cary Grant
Penny Serenade,1941,cast,Beulah Bondi
Penny Serenade,1941,director,George Stevens
None but the Lonely Heart (film),1944,star,Cary Grant
None but the Lonely Heart (film),1944,star,Ethel Barrymore
None but the Lonely Heart (film),1944,star,Barry Fitzgerald
28 Days Later,2002,star,Naomie Harris
28 Days Later,2002,director,Danny Boyle
Empire of the Sun (film),1987,star,John Malkovich
Empire of the Sun (film),1987,star,Miranda Richardson
Empire of the Sun (film),1987,star,Christian Bale
Empire of the Sun (film),1987,director,Steven Spielberg
Close Encounters of the Third Kind,1977,star,Richard Dreyfuss
Close Encounters of the Third Kind,1977,star,Teri Garr
Close Encounters of the Third Kind,1977,star,Melinda Dillon
Close Encounters of the Third Kind,1977,star,François Truffaut
Close Encounters of the Third Kind,1977,director,Steven Spielberg
Darby O'Gill and the Little People,1959,star,Sean Connery
Spider-Man (2002 film),2002,star,Willem Dafoe
Spider-Man (2002 film),2002,star,James Franco
Spider-Man (2002 film),2002,star,Cliff Robertson
Spider-Man (2002 film),2002,star,Rosemary Harris
Castle in the Sky,1986,cast,Anna Paquin
Castle in the Sky,1986,cast,Cloris Leachman
The Bounty (1984 film),1984,star,Mel Gibson
The Bounty (1984 film),1984,star,Anthony Hopkins
The Bounty (1984 film),1984,star,Laurence Olivier
The Bounty (1984 film),1984,cast,Daniel Day-Lewis
The Bounty (1984 film),1984,cast,Liam Neeson
Wayne's World 2,1993,star,Christopher Walken
Wayne's World 2,1993,cast,Kim Basinger
Wayne's World 2,1993,cast,Charlton Heston
Rocky II,1979,star,Sylvester Stallone
Rocky II,1979,star,Talia Shire
Rocky II,1979,star,Burt Young
Rocky II,1979,star,Burgess Meredith
Rocky II,1979,star,Sylvester Stallone
A Night at the Roxbury,1998,cast,Michael Clarke Duncan
A Night at the Roxbury,1998,cast,Chazz Palminteri
A Song to Remember,1945,star,Paul Muni
A Song to Remember,1945,star,Merle Oberon
A Song to Remember,1945,star,Cornel Wilde
A Song to Remember,1945,cast,Nina Foch
The Jolson Story,1946,star,Larry Parks
The Jolson Story,1946,star,William Demarest
A Double Life (1947 film),1947,star,Ronald Colman
A Double Life (1947 film),1947,star,Edmond O'Brien
A Double Life (1947 film),1947,cast,Shelley Winters
A Double Life (1947 film),1947,cast,Betsy Blair
A Double Life (1947 film),1947,director,George Cukor
The Search,1948,star,Montgomery Clift
The Search,1948,star,Aline MacMahon
The Search,1948,director,Fred Zinnemann
Zardoz,1974,star,Sean Connery
Zardoz,1974,star,Charlotte Rampling
Zardoz,1974,director,John Boorman
Austin Powers in Goldmember,2002,star,Michael Caine
Austin Powers in Goldmember,2002,cast,Tom Cruise
Austin Powers in Goldmember,2002,cast,Gwyneth Paltrow
Austin Powers in Goldmember,2002,cast,Kevin Spacey
Austin Powers in Goldmember,2002,cast,Steven Spielberg
Austin Powers in Goldmember,2002,cast,John Travolta
Donovan's Reef,1963,star,John Wayne
Donovan's Reef,1963,cast,Lee Marvin
Donovan's Reef,1963,cast,Jack Warden
Donovan's Reef,1963,director,John Ford
Beneath the Planet of the Apes,1970,star,Kim Hunter
Beneath the Planet of the Apes,1970,star,Charlton Heston
Beneath the Planet of the Apes,1970,cast,Victor Buono
Beneath the Planet of the Apes,1970,cast,Thomas Gomez
Rocky III,1982,star,Sylvester Stallone
Rocky III,1982,star,Talia Shire
Rocky III,1982,star,Burt Young
Rocky III,1982,star,Burgess Meredith
Rocky III,1982,star,Sylvester Stallone
Les Diaboliques (film),1955,star,Simone Signoret
Rocky V,1990,star,Sylvester Stallone
Rocky V,1990,star,Talia Shire
Rocky V,1990,star,Burt Young
Rocky V,1990,star,Burgess Meredith
Rocky V,1990,director,John G. Avildsen
Blue (1993 film),1993,cast,Tilda Swinton
Three Colours: Blue,1993,star,Juliette Binoche
Three Colours: Blue,1993,star,Emmanuelle Riva
Three Colours: Blue,1993,director,Krzysztof Kieślowski
Sitting Pretty (1948 film),1948,star,Clifton Webb
Sitting Pretty (1948 film),1948,cast,Ed Begley
Sitting Pretty (1948 film),1948,director,Walter Lang
The Hasty Heart,1949,star,Richard Todd
The Hasty Heart,1949,star,Patricia Neal
Sands of Iwo Jima,1949,star,John Wayne
Sands of Iwo Jima,1949,cast,Richard Jaeckel
Quo Vadis (1951 film),1951,star,Deborah Kerr
Quo Vadis (1951 film),1951,star,Leo Genn
Quo Vadis (1951 film),1951,star,Peter Ustinov
Quo Vadis (1951 film),1951,cast,Elizabeth Taylor
Quo Vadis (1951 film),1951,cast,Walter Pidgeon
Quo Vadis (1951 film),1951,director,Mervyn LeRoy
Ocean's 11,1960,star,Frank Sinatra
Ocean's 11,1960,cast,Akim Tamiroff
Ocean's 11,1960,cast,Shirley MacLaine
Ocean's 11,1960,director,Lewis Milestone
Three Colours: White,1994,director,Krzysztof Kieślowski
Time After Time (1979 film),1979,star,Mary Steenburgen
Boyz n the Hood,1991,star,Cuba Gooding Jr.
Boyz n the Hood,1991,cast,Angela Bassett
Boyz n the Hood,1991,cast,Laurence Fishburne
Boyz n the Hood,1991,director,John Singleton
Boyz n the Hood,1991,cast,Regina King
Boyz n the Hood,1991,director,John Singleton
Baby Boy (film),2001,star,Taraji P. Henson
Baby Boy (film),2001,cast,Mo'Nique
Baby Boy (film),2001,director,John Singleton
The Magnificent Yankee (1950 film),1950,star,Louis Calhern
The Magnificent Yankee (1950 film),1950,star,Ann Harding
The Magnificent Yankee (1950 film),1950,director,John Sturges
Bright Victory,1951,star,Arthur Kennedy
Bright Victory,1951,cast,Rock Hudson
Viva Zapata!,1952,star,Marlon Brando
Viva Zapata!,1952,star,Anthony Quinn
Viva Zapata!,1952,cast,Mildred Dunnock
Viva Zapata!,1952,director,Elia Kazan
The Bad and the Beautiful,1952,star,Lana Turner
The Bad and the Beautiful,1952,star,Kirk Douglas
The Bad and the Beautiful,1952,star,Walter Pidgeon
The Bad and the Beautiful,1952,star,Gloria Grahame
The Bad and the Beautiful,1952,director,Vincente Minnelli
The Lavender Hill Mob,1951,star,Alec Guinness
The Lavender Hill Mob,1951,star,Stanley Holloway
The Lavender Hill Mob,1951,cast,Audrey Hepburn
The Lavender Hill Mob,1951,director,Charles Crichton
Stalag 17,1953,star,William Holden
Stalag 17,1953,star,Otto Preminger
Stalag 17,1953,director,Billy Wilder
Die Another Day,2002,star,Halle Berry
Die Another Day,2002,star,Rosamund Pike
Die Another Day,2002,star,Judi Dench
Pretty Woman,1990,star,Julia Roberts
Pretty Woman,1990,cast,Ralph Bellamy
Time Bandits,1981,star,Sean Connery
Time Bandits,1981,star,Ian Holm
Time Bandits,1981,star,Ralph Richardson
Time Bandits,1981,cast,Jim Broadbent
Star Trek: Insurrection,1998,star,F. Murray Abraham
Diamonds Are Forever (film),1971,star,Sean Connery
Two-Way Stretch,1960,star,Peter Sellers
You've Got Mail,1998,star,Tom Hanks
You've Got Mail,1998,star,Greg Kinnear
City of Angels (film),1998,star,Nicolas Cage
The Negotiator,1998,star,Samuel L. Jackson
The Negotiator,1998,star,Kevin Spacey
The Negotiator,1998,cast,Paul Giamatti
High Fidelity (film),2000,star,Joan Cusack
High Fidelity (film),2000,cast,Catherine Zeta-Jones
High Fidelity (film),2000,cast,Tim Robbins
High Fidelity (film),2000,director,Stephen Frears
Star Trek VI: The Undiscovered Country,1991,star,Christopher Plummer
Love Me or Leave Me (film),1955,star,Doris Day
Love Me or Leave Me (film),1955,star,James Cagney
Love Me or Leave Me (film),1955,cast,Tom Tully
The Man with the Golden Arm,1955,star,Frank Sinatra
The Man with the Golden Arm,1955,star,Eleanor Parker
The Man with the Golden Arm,1955,director,Otto Preminger
Bad Day at Black Rock,1955,star,Spencer Tracy
Bad Day at Black Rock,1955,star,Robert Ryan
Bad Day at Black Rock,1955,star,Dean Jagger
Bad Day at Black Rock,1955,star,Walter Brennan
Bad Day at Black Rock,1955,star,Ernest Borgnine
Bad Day at Black Rock,1955,star,Lee Marvin
Bad Day at Black Rock,1955,director,John Sturges
Lust for Life (1956 film),1956,star,Kirk Douglas
Lust for Life (1956 film),1956,star,Anthony Quinn
Lust for Life (1956 film),1956,director,Vincente Minnelli
Lust for Life (1956 film),1956,director,George Cukor
A Hatful of Rain,1957,star,Eva Marie Saint
A Hatful of Rain,1957,star,Anthony Franciosa
A Hatful of Rain,1957,director,Fred Zinnemann
Wild Is the Wind,1957,star,Anna Magnani
Wild Is the Wind,1957,star,Anthony Quinn
Wild Is the Wind,1957,cast,Anthony Franciosa
Wild Is the Wind,1957,director,George Cukor
The Last Angry Man,1959,star,Paul Muni
The Mark (1961 film),1961,star,Stuart Whitman
The Mark (1961 film),1961,star,Rod Steiger
Days of Wine and Roses (film),1962,star,Jack Lemmon
Days of Wine and Roses (film),1962,star,Lee Remick
